R,G,B,A
250,189,60,255
250,189,59,255
250,188,57,255
250,188,56,255
250,187,54,255
251,187,53,255
251,186,51,255
251,186,50,255
251,185,48,255
251,185,47,255
251,185,46,255
251,184,44,255
251,184,43,255
251,183,41,255
252,183,40,255
252,182,38,255
252,182,37,255
252,181,35,255
252,181,34,255
252,180,32,255
252,180,31,255
252,179,29,255
252,179,28,255
253,178,26,255
253,178,25,255
253,177,23,255
253,177,22,255
253,176,20,255
253,176,19,255
253,175,17,255
253,175,16,255
253,174,14,255
254,174,13,255
254,173,11,255
254,173,10,255
254,172,8,255
254,172,7,255
254,171,5,255
254,171,4,255
254,170,2,255
254,170,1,255
255,170,0,255
254,169,0,255
253,168,0,255
252,168,0,255
251,167,0,255
251,166,0,255
250,166,0,255
249,165,0,255
248,164,0,255
247,164,0,255
247,163,0,255
246,162,0,255
245,162,0,255
244,161,0,255
243,160,0,255
243,160,0,255
242,159,0,255
241,158,0,255
240,158,0,255
239,157,0,255
239,156,0,255
238,156,0,255
237,155,0,255
236,154,0,255
235,154,0,255
235,153,0,255
234,152,0,255
233,152,0,255
232,151,0,255
231,150,0,255
231,150,0,255
230,149,0,255
229,149,0,255
228,148,0,255
227,147,0,255
227,147,0,255
226,146,0,255
225,145,0,255
224,145,0,255
223,144,0,255
223,143,0,255
222,143,0,255
221,142,0,255
220,141,0,255
219,141,0,255
219,140,0,255
218,139,0,255
217,139,0,255
216,138,0,255
215,137,0,255
215,137,0,255
214,136,0,255
213,135,0,255
212,135,0,255
211,134,0,255
211,133,0,255
210,133,0,255
209,132,0,255
208,131,0,255
207,131,0,255
207,130,0,255
206,129,0,255
205,129,0,255
204,128,0,255
204,128,0,255
203,127,0,255
202,126,0,255
201,126,0,255
200,125,0,255
200,124,0,255
199,124,0,255
198,123,0,255
197,122,0,255
196,122,0,255
196,121,0,255
195,120,0,255
194,120,0,255
193,119,0,255
192,119,0,255
192,118,0,255
191,117,0,255
190,117,0,255
189,116,0,255
188,115,0,255
188,115,0,255
187,114,0,255
186,113,0,255
185,113,0,255
184,112,0,255
184,111,0,255
183,111,0,255
182,110,0,255
181,110,0,255
180,109,0,255
180,108,0,255
179,108,0,255
178,107,0,255
177,106,0,255
176,106,0,255
176,105,0,255
175,104,0,255
174,104,0,255
173,103,0,255
172,103,0,255
172,102,0,255
171,101,0,255
170,101,0,255
169,100,0,255
168,99,0,255
168,99,0,255
167,98,0,255
166,97,0,255
165,97,0,255
164,96,0,255
164,95,0,255
163,95,0,255
162,94,0,255
161,94,0,255
160,93,0,255
160,92,0,255
159,92,0,255
158,91,0,255
157,90,0,255
156,90,0,255
156,89,0,255
155,88,0,255
154,88,0,255
153,87,0,255
153,87,0,255
152,86,0,255
151,85,0,255
150,85,0,255
150,84,0,255
149,84,0,255
148,83,0,255
147,83,0,255
147,82,0,255
146,82,0,255
145,81,0,255
144,80,0,255
144,80,0,255
143,79,0,255
142,79,0,255
141,78,0,255
141,78,0,255
140,77,0,255
139,77,0,255
139,76,0,255
138,76,0,255
137,75,0,255
136,74,1,255
136,74,1,255
135,73,1,255
134,73,1,255
133,72,1,255
133,72,1,255
132,71,1,255
131,71,1,255
